web-scraper-order,web-scraper-start-url,text,film
"1579873300-113","https://www.teenvogue.com/gallery/best-harry-potter-quotes","“‘Why are they all staring?’ demanded Albus as he and Rose craned around to look at the other students. ‘Don’t let it worry you,’ said Ron. ‘It’s me. I’m extremely famous.’” — Harry Potter and the Deathly Hallows",""
"1579873300-114","https://www.teenvogue.com/gallery/best-harry-potter-quotes","","Harry Potter and the Deathly Hallows"
"1579873300-57","https://www.teenvogue.com/gallery/best-harry-potter-quotes","“Fear of a name only increases fear of the thing itself.” — Hermione Granger, Harry Potter and the Chamber of Secrets",""
"1579873300-107","https://www.teenvogue.com/gallery/best-harry-potter-quotes","""And Percy was shaking his brother, and Ron was kneeling beside them, and Fred's eyes stared without seeing, the ghost of his last laugh still etched upon his face.” ― Harry Potter and the Deathly Hallows",""
"1579873300-112","https://www.teenvogue.com/gallery/best-harry-potter-quotes","","Harry Potter and the Deathly Hallows"
"1579873300-52","https://www.teenvogue.com/gallery/best-harry-potter-quotes","","Harry Potter and the Sorcerer's Stone"
"1579873300-73","https://www.teenvogue.com/gallery/best-harry-potter-quotes","""It matters not what someone is born, but what they grow to be.” ― Albus Dumbledore, Harry Potter and the Goblet of Fire",""
"1579873300-82","https://www.teenvogue.com/gallery/best-harry-potter-quotes","","Harry Potter and the Order of the Phoenix"
"1579873300-72","https://www.teenvogue.com/gallery/best-harry-potter-quotes","","Harry Potter and the Goblet of Fire"
"1579873300-71","https://www.teenvogue.com/gallery/best-harry-potter-quotes","""I am what I am, an' I'm not ashamed. 'Never be ashamed,' my ol' dad used ter say, 'there's some who'll hold it against you, but they're not worth botherin' with.'"" — Hagrid, Harry Potter and the Goblet of Fire",""
"1579873300-55","https://www.teenvogue.com/gallery/best-harry-potter-quotes","“Yer a wizard Harry.” ― Hagrid, Harry Potter and the Sorcerer's Stone",""
"1579873300-111","https://www.teenvogue.com/gallery/best-harry-potter-quotes","“'No, Harry, you listen,' said Hermione. 'We're coming with you. That was decided months ago — years, really.'” — Harry Potter and the Deathly Hallows",""
"1579873300-60","https://www.teenvogue.com/gallery/best-harry-potter-quotes","","Harry Potter and the Chamber of Secrets"
"1579873300-97","https://www.teenvogue.com/gallery/best-harry-potter-quotes","""Every human life is worth the same, and worth saving.” — Kingsley Shacklebolt, Harry Potter and the Deathly Hallows",""
"1579873300-51","https://www.teenvogue.com/gallery/best-harry-potter-quotes","""There will be no foolish wand-waving or silly incantations in this class. As such, I don't expect many of you to appreciate the subtle science and exact art that is potion-making. However, for those select few who possess the predisposition, I can teach you how to bewitch the mind and ensnare the senses. I can tell you how to bottle fame, brew glory, and even put a stopper in death. Then again, maybe some of you have come to Hogwarts in possession of abilities so formidable that you feel confident enough to not pay attention!"" — Professor Severus Snape, Harry Potter and the Sorcerer's Stone",""
"1579873300-88","https://www.teenvogue.com/gallery/best-harry-potter-quotes","","Harry Potter and the Order of the Phoenix"
"1579873300-83","https://www.teenvogue.com/gallery/best-harry-potter-quotes","""I think I'll just go down and have some pudding and wait for it all to turn up — it always does in the end.” ― Luna Lovegood, Harry Potter and the Order of the Phoenix",""
"1579873300-63","https://www.teenvogue.com/gallery/best-harry-potter-quotes","“I solemnly swear I am up to no good.” ― Harry Potter, Harry Potter and the Prisoner of Azkaban",""
"1579873300-46","https://www.teenvogue.com/gallery/best-harry-potter-quotes","","Harry Potter and the Sorcerer's Stone"
"1579873300-110","https://www.teenvogue.com/gallery/best-harry-potter-quotes","","Harry Potter and the Deathly Hallows"
"1579873300-104","https://www.teenvogue.com/gallery/best-harry-potter-quotes","","Harry Potter and the Deathly Hallows"
"1579873300-45","https://www.teenvogue.com/gallery/best-harry-potter-quotes","“It does not do well to dwell on dreams and forget to live.” ―  Albus Dumbledore, Harry Potter and the Sorcerer's Stone",""
"1579873300-120","https://www.teenvogue.com/gallery/best-harry-potter-quotes","","Harry Potter and the Deathly Hallows"
"1579873300-87","https://www.teenvogue.com/gallery/best-harry-potter-quotes","""You can laugh, but people used to believe there were no such things as the Blibbering Humdinger or the Crumple-Horned Snorkack!” ― Luna Lovegood, Harry Potter and the Order of the Phoenix",""
"1579873300-103","https://www.teenvogue.com/gallery/best-harry-potter-quotes","""Words are, in my not-so-humble opinion, our most inexhaustible source of magic. Capable of both inflicting injury, and remedying it."" ― Albus Dumbledore, Harry Potter and the Deathly Hallows",""
"1579873300-65","https://www.teenvogue.com/gallery/best-harry-potter-quotes","""Honestly, am I the only person who's ever bother to read Hogwarts: A History?” — Hermione Granter, Harry Potter and the Prisoner of Azkaban",""
"1579873300-70","https://www.teenvogue.com/gallery/best-harry-potter-quotes","","Harry Potter and the Goblet of Fire"
